Seq1	Seq2	Seq3	Seq4	Seq5	Seq6	Seq7	Seq8
1.9	1.9	1	1.3	1	1.3	1.6	1.6
1.6	1	1.9	1	1.6	1.6	1	1
1.9	1.9	1	1.9	1.3	1.9	1.3	1.6
1	1	1.3	1	1.9	1	1.9	1.9
1.3	1.9	1	1.3	1.3	1.3	1.3	1.3
1.6	1.3	1.9	1.6	1.9	1	1.9	1.9
1.9	1.6	1	1	1	1.9	1	1
1	1	1.6	1.9	1.3	1.3	1.6	1.9
1.9	1.9	1.3	1.6	1	1.9	1.3	1
1.3	1	1.6	1	1.3	1	1.9	1.3
1.9	1.9	1.9	1.9	1	1.9	1	1.9
1	1	1	1	1.9	1	1.9	1.6
1.3	1.6	1.9	1.9	1.6	1.9	1	1.3
1	1	1.3	1.3	1.9	1	1.9	1.9
1.6	1.3	1.9	1	1	1.6	1	1.6
1.3	1.9	1.6	1.9	1.9	1.9	1.9	1.9
1.6	1.6	1.9	1	1.6	1	1.3	1.3
1.9	1	1	1.9	1	1.6	1	1
1.3	1.3	1.9	1.6	1.9	1	1.9	1.9
1	1.9	1	1	1	1.3	1.6	1
