Small Subject								Medium Subject								Large Subject							
Seq1	Seq2	Seq3	Seq4	Seq5	Seq6	Seq7	Seq8	Seq1	Seq2	Seq3	Seq4	Seq5	Seq6	Seq7	Seq8	Seq1	Seq2	Seq3	Seq4	Seq5	Seq6	Seq7	Seq8
9	9	0	3	0	3	6	6	10	10	1	4	1	4	7	7	11	11	2	5	2	5	8	8
6	0	9	0	6	6	0	0	7	1	10	1	7	7	1	1	8	2	11	2	8	8	2	2
9	9	0	9	3	9	3	6	10	10	1	10	4	10	4	7	11	11	2	11	5	11	5	8
0	0	3	0	9	0	9	9	1	1	4	1	10	1	10	10	2	2	5	2	11	2	11	11
3	9	0	3	3	3	3	3	4	10	1	4	4	4	4	4	5	11	2	5	5	5	5	5
6	3	9	6	9	0	9	9	7	4	10	7	10	1	10	10	8	5	11	8	11	2	11	11
9	6	0	0	0	9	0	0	10	7	1	1	1	10	1	1	11	8	2	2	2	11	2	2
0	0	6	9	3	3	6	9	1	1	7	10	4	4	7	10	2	2	8	11	5	5	8	11
9	9	3	6	0	9	3	0	10	10	4	7	1	10	4	1	11	11	5	8	2	11	5	2
3	0	6	0	3	0	9	3	4	1	7	1	4	1	10	4	5	2	8	2	5	2	11	5
9	9	9	9	0	9	0	9	10	10	10	10	1	10	1	10	11	11	11	11	2	11	2	11
0	0	0	0	9	0	9	6	1	1	1	1	10	1	10	7	2	2	2	2	11	2	11	8
3	6	9	9	6	9	0	3	4	7	10	10	7	10	1	4	5	8	11	11	8	11	2	5
0	0	3	3	9	0	9	9	1	1	4	4	10	1	10	10	2	2	5	5	11	2	11	11
6	3	9	0	0	6	0	6	7	4	10	1	1	7	1	7	8	5	11	2	2	8	2	8
3	9	6	9	9	9	9	9	4	10	7	10	10	10	10	10	5	11	8	11	11	11	11	11
6	6	9	0	6	0	3	3	7	7	10	1	7	1	4	4	8	8	11	2	8	2	5	5
9	0	0	9	0	6	0	0	10	1	1	10	1	7	1	1	11	2	2	11	2	8	2	2
3	3	9	6	9	0	9	9	4	4	10	7	10	1	10	10	5	5	11	8	11	2	11	11
0	9	0	0	0	3	6	0	1	10	1	1	1	4	7	1	2	11	2	2	2	5	8	2
